location,price,price_number,params,id,description,title,url,date,engine,mileage,brand,year,age
"Республика Карелия, Петрозаводский г.о., Петрозаводск",775000.0,775 000,"59 000 км, 1.6 MT (82 л.с.), седан, передний, бензин",7677658853,"59 000 км, 1.6 MT (82 л.с.), седан, передний, бензин","Renault Logan 1.6 MT, 2017, 59 000 км",https://www.avito.ru/petrozavodsk/avtomobili/renault_logan_1.6_mt_2017_59_000_km_7677658853?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (82 л.с.),59 000 км,Renault,2017,8
"Республика Адыгея (Адыгея), Майкоп",310000.0,310 000,"270 000 км, 1.5 MT (70 л.с.), хетчбэк, передний, бензин",7678430595,"270 000 км, 1.5 MT (70 л.с.), хетчбэк, передний, бензин","ВАЗ (LADA) 2108 1.5 MT, 1998, 270 000 км",https://www.avito.ru/maykop/avtomobili/vaz_lada_2108_1.5_mt_1998_270_000_km_7678430595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.5 MT (70 л.с.),270 000 км,Lada,1998,27
Москва,265000.0,265 000,"173 500 км, 1.4 MT (97 л.с.), хетчбэк, передний, бензин",7735113744,"173 500 км, 1.4 MT (97 л.с.), хетчбэк, передний, бензин","Hyundai Getz 1.4 MT, 2006, 173 500 км",https://www.avito.ru/moskva/avtomobili/hyundai_getz_1.4_mt_2006_173_500_km_7735113744?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (97 л.с.),173 500 км,Hyundai,2006,19
"Новосибирская обл., Новосибирск",970000.0,970 000,"21 000 км, 1.5 CVT (129 л.с.), минивэн, передний, бензин",7744008962,"21 000 км, 1.5 CVT (129 л.с.), минивэн, передний, бензин","Honda Freed 1.5 CVT, 2020, 21 000 км",https://www.avito.ru/novosibirsk/avtomobili/honda_freed_1.5_cvt_2020_21_000_km_7744008962?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.5 CVT (129 л.с.),21 000 км,Honda,2020,5
"Чеченская Республика, Гудермесский р-н, Гудермесское городское поселение, Гудермес",1260000.0,1 260 000,"49 000 км, 1.8 CVT (122 л.с.), седан, передний, бензин",7753522546,"49 000 км, 1.8 CVT (122 л.с.), седан, передний, бензин","ВАЗ (LADA) Vesta 1.8 CVT, 2024, 49 000 км",https://www.avito.ru/gudermes/avtomobili/vaz_lada_vesta_1.8_cvt_2024_49_000_km_7753522546?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.8 CVT (122 л.с.),49 000 км,Lada,2024,1
"Удмуртская Республика, Ижевск",979000.0,979 000,"134 689 км, 1.6 AT (110 л.с.), седан, передний, бензин",7798004026,"134 689 км, 1.6 AT (110 л.с.), седан, передний, бензин","Volkswagen Polo 1.6 AT, 2017, 134 689 км",https://www.avito.ru/izhevsk/avtomobili/volkswagen_polo_1.6_at_2017_134_689_km_7798004026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,Вчера,1.6 AT (110 л.с.),134 689 км,Volkswagen,2017,8
"Псковская обл., Великие Луки",255000.0,255 000,"185 500 км, 1.6 MT (115 л.с.), седан, передний, бензин",7610816150,"185 500 км, 1.6 MT (115 л.с.), седан, передний, бензин","Renault Megane 1.6 MT, 2007, 185 500 км",https://www.avito.ru/velikie_luki/avtomobili/renault_megane_1.6_mt_2007_185_500_km_7610816150?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (115 л.с.),185 500 км,Renault,2007,18
"Ростовская обл., Шахты",545000.0,545 000,"152 300 км, 1.4 MT (94 л.с.), хетчбэк, передний, бензин",7749850100,"152 300 км, 1.4 MT (94 л.с.), хетчбэк, передний, бензин","Chevrolet Lacetti 1.4 MT, 2011, 152 300 км",https://www.avito.ru/shahty/avtomobili/chevrolet_lacetti_1.4_mt_2011_152_300_km_7749850100?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.4 MT (94 л.с.),152 300 км,Chevrolet,2011,14
"Ставропольский край, Ставрополь",1250000.0,1 250 000,"265 431 км, 2.2 AT (197 л.с.), внедорожник, полный, дизель",7737881339,"265 431 км, 2.2 AT (197 л.с.), внедорожник, полный, дизель","Hyundai Santa Fe 2.2 AT, 2010, 265 431 км",https://www.avito.ru/stavropol/avtomobili/hyundai_santa_fe_2.2_at_2010_265_431_km_7737881339?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,2.2 AT (197 л.с.),265 431 км,Hyundai,2010,15
"Вологодская обл., Вологда",325000.0,325 000,"245 000 км, 2.4 MT (146 л.с.), внедорожник, полный, бензин",7744340240,"245 000 км, 2.4 MT (146 л.с.), внедорожник, полный, бензин","Hyundai Santa Fe 2.4 MT, 2004, 245 000 км",https://www.avito.ru/vologda/avtomobili/hyundai_santa_fe_2.4_mt_2004_245_000_km_7744340240?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,3 дня назад,2.4 MT (146 л.с.),245 000 км,Hyundai,2004,21
